기획MD,StyleCode,품명,시즌코드,컬러수,생산형태,생산처,원산국,전산입고계획일,작지일매,예상출고일(주차)
정영준,TVPNM27904,유통특화_하절 여성 쿨맥스 레귤러핏 데님 팬츠,M,1,사입,스코브데님워크숍,베트남,2027-01-21,O,3월1주
정영준,TVPNS27512,춘절 여성 베이직 커브드 팬츠,S,2,CMT,와이아이씨,베트남,2026-12-11,O,1월3주
정영준,TVPNS27522,춘절 여성 루즈 커브드 팬츠,S,2,CMT,거림트렌드,베트남,2026-12-11,O,1월3주
정영준,TVPNS27532,춘절 여성 부츠컷 팬츠,S,2,CMT,티비오콜렉션,베트남,2026-12-11,O,1월3주
정영준,TVPNS27542,춘절 여성 레귤러핏 팬츠,S,2,CMT,거림트렌드,베트남,2026-12-11,O,1월3주
정영준,TVPNS27552,춘절 여성 소프트필 조거 팬츠,S,2,사입,주식회사 아이케이지,인도네시아,2026-12-11,O,2월1주
정영준,TVPNS27902,유통특화_사계절 여성 세미 부츠컷 데님 팬츠,S,1,사입,스코브데님워크숍,베트남,2026-12-11,O,2월1주
정영준,TVPOM27502,하절 여성 시어서커 5부,M,2,CMT,거림트렌드,베트남,2027-01-21,O,3월2주
정영준,TVPOM27512,하절 여성 버뮤다 팬츠,M,2,CMT,티비오콜렉션,베트남,2027-01-21,X,3월4주
정영준,TVPOM27692,하절 여성 데이팩 롱 베이직 스커트,M,2,CMT,와이아이씨,베트남,2027-01-14,O,3월4주
정영준,TVPOM27694,하절 여성 데이팩 롱 더블플랩 스커트 (립),M,2,CMT,와이아이씨,베트남,2027-01-14,O,3월4주
정영준,TVPOM27696,하절 여성 데이팩 쇼츠,M,3,CMT,티비오콜렉션,베트남,2027-01-14,O,3월4주
정영준,TVPOM27698,하절 여성 데이팩 카고 쇼츠,M,3,CMT,티비오콜렉션,베트남,2027-01-14,O,3월4주
박술홍,TVPOM27732,여성 트레일러닝 초경량 스플릿 3부 팬츠,M,1,사입,와이아이씨,베트남,2027-03-01,X,
박술홍,TVPOM27734,여성 트레일러닝 트레일 2in1 스토리지 3부 팬츠,M,1,사입,와이아이씨,베트남,2027-03-01,X,
박술홍,TVPOM27736,여성 트레일러닝 트레일 스토리지 4부 타이즈,M,1,사입,주식회사 아이케이지,인도네시아,2027-03-01,O,
정영준,TVPOS27502,춘절 여성 롱 스커트,S,1,사입,와이아이씨,베트남,2026-12-11,O,2월1주
김준래,TVSCM27512,하절 여성 시어서커 반팔 셔츠,M,2,사입,성원F&K,베트남,2027-03-08,O,
정영준,TVSCM27692,하절 여성 데이팩 반팔 셔츠,M,2,사입,성원F&K,베트남,2027-01-14,O,3월4주
김준래,TVSXM27582,하절 여성 시어서커 후드 긴팔 셔츠,M,2,사입,성원F&K,베트남,2027-03-08,O,
김준래,TVSXM27592,하절 여성 에어리 긴팔 셔츠,M,2,사입,성원F&K,베트남,2027-03-01,X,
김준래,TVSXM27902,유통특화_여성 체크 긴팔 셔츠,M,2,사입,픽스쳐패브리케이션,베트남,2027-03-08,O,
김준래,TVSXS27502,여성 세미오버 긴팔 셔츠,S,2,사입,성원F&K,베트남,2027-02-15,O,
김준래,TVSXS27522,여성 아우터형 긴팔 셔츠,S,2,사입,성원F&K,베트남,2027-02-15,O,
김준래,TVTBS27548,여성 베이직 폴로 긴팔 티셔츠,S,3,Buying,TESSELLATION INTERNATIONAL LIM,베트남,2027-01-11,X,
김준래,TVTBS27552,춘절 여성 소프트필 후드 긴팔 티셔츠,S,2,사입,주식회사 아이케이지,인도네시아,2026-12-11,O,
김준래,TVTBS27592,춘절 여성 니트 폴로 긴팔 티셔츠,S,2,사입,어필코리아,베트남,2026-12-11,O,
김준래,TVTCM27502,하절 여성 베이직 폴로 반팔 티셔츠,M,3,Buying,주식회사 아이케이지,국내,2027-02-22,X,
김준래,TVTCM27504,하절 여성 핫멜트 폴로 반팔 티셔츠,M,3,사입,장안어패럴,베트남,2027-01-18,O,
김준래,TVTCM27506,여성 소로나 라운드넥 반팔 티셔츠,M,4,Buying,주식회사 아이케이지,인도네시아,2027-02-22,X,
김준래,TVTCM27508,여성 CP소로나쿨 모크넥 반팔 티셔츠,M,2,사입,장안어패럴,베트남,2027-02-22,X,
