MD,DS,StyleCode,품명,시즌코드,컬러수,기획수량,생산형태,생산처,원산지,출고차순,출고일(주차),작지발행,납기1차(참고),컬러구성,사양확정,비수기,원가합,소매가합,원단처,겉감정보,안감정보,생산처_소재DB
박술홍,조은선,QEBXX27131,남녀공용 티어드롭형 AXIOM 30L,X,1,1000,완사입,인투잇플러스,중국,X,1월4주,X,1월4주,BLK(BLACK),X,,52738000,220000000,,,,
박술홍,조은선,QEBXX27141,남여공용 롤탑형 AXIOM 백패킹 백팩,X,1,1000,완사입,인투잇플러스,중국,X,1월4주,X,1월4주,OWH,X,,71579000,350000000,,,,
박술홍,조은선,QEBXX27511,남녀공용 스트링형 단거리 근교산행용 패커블 백팩 10L,X,2,2500,완사입,인투잇플러스,중국,,1월4주,X,,"CRE-1, DBU-2",X,,57500000,270000000,,,,
박술홍,조은선,QEBXX27513,남녀공용 티어드롭형 단거리 근교산행용 패커블 백팩 10L,X,2,2000,완사입,풍국산업,베트남,SPOT,1월4주,,,"CO1, CO2",,,46000000,216000000,,,,
박술홍,조은선,QEBDX27111,남녀공용 하이킹 슬링백,X,2,1800,완사입,인투잇플러스,중국,,1월4주,X,,"DGY-1, DGR(D/GREEN)",X,,30240000,158400000,,,,
박술홍,조은선,QEBDX27133,남녀공용 하이킹 미니 웨이스트백,X,2,1600,완사입,인투잇플러스,중국,,1월4주,X,1월4주,"AQU(AQUA), BGY-2",X,,17600000,88000000,,,,
박술홍,조은선,QEBDX27123,남녀공용 백패킹 사코슈백,X,2,1000,완사입,인투잇플러스,중국,,1월4주,X,,"CRE-1, DBU-2",X,,11000000,55000000,,,,
박술홍,조은선,QEBDX27137,남녀공용 하이킹 미니 파우치,X,3,3700,완사입,인투잇플러스,중국,,1월4주,X,1월4주,"DGY-1, DGR(D/GREEN), DYL(D/YELLOW)",X,,40700000,203500000,,,,
박술홍,조은선,QEBDX27135,남녀공용 백패킹 보틀 홀더,X,1,400,완사입,인투잇플러스,중국,,1월4주,X,1월4주,CRE-1,X,,4400000,22000000,,,,
박술홍,조은선,QEBDX27041,남녀공용 히어로 더플백 40L,X,1,440,완사입,풍국산업,베트남,,1월4주,O,1월4주,BLK(BLACK),O,,22000000,87120000,,,,
박술홍,조은선,QEBDX27091,남녀공용 히어로 더플백 120L,X,1,300,완사입,풍국산업,베트남,,1월4주,O,1월4주,BLK(BLACK),O,,25500000,87000000,,,,
박진아,조은선,QEHFX27101,남녀공용 모스드라이 하이킹 스트레치 장갑,X,3,5500,완사입,시즈글로벌,베트남,,1월4주,O,,"BLK(BLACK), LSL, VBU",X,,51066500,302500000,,,,
박진아,조은선,QEHFM27301,남녀공용 모스드라이 하이킹 스트레치 반장갑,M,3,4700,완사입,시즈글로벌,베트남,,2월4주,X,,"BLK(BLACK), VBU, GKH(G/KHAKI)",X,,47972900,235000000,,,,
박진아,조은선,QEHFM27305,남녀공용 모스드라이 하이킹 자외선 차단 반장갑,M,3,4500,완사입,시즈글로벌,베트남,,2월4주,X,,"DGY(D/GRAY), GMI(G/MINT), LGY(L/GRAY)",X,,34879500,202500000,,,,
박진아,조은선,QEHFX27103,남녀공용 에어도트 긴장갑,X,2,3000,완사입,시즈글로벌,베트남,,1월3주,,,"BLK(BLACK), KHA(KHAKI)",,,29130000,165000000,,,,
